comp,int
0,"290,1"
0,"291,4"
0,"290,5"
0,"289,5"
0,"292,8"
0,"289,7"
0,"291,4"
0,"290,7"
0,"289,7"
0,"292,2"
0,"289,7"
0,"291,4"
0,"291,1"
0,"289,7"
0,"291,6"
0,"288,5"
0,"289,9"
0,"289,7"
0,"288,9"
0,"291,1"
0,"288,1"
0,"289,7"
0,"289,1"
0,"287,3"
0,"289,7"
0,"287,3"
0,"289,5"
0,"288,9"
0,"288,1"
0,"290,9"
0,"288,1"
0,"290,5"
0,"290,7"
0,"290,1"
0,293
0,"290,9"
0,"299,5"
0,308
0,"307,4"
0,"310,1"
0,"311,5"
0,"322,9"
0,"330,6"
0,"334,9"
0,"345,5"
0,"356,9"
0,"373,5"
0,"385,1"
0,"383,7"
0,"364,6"
1E-08,"321,7"
3E-08,"257,4"
4E-08,"151,2"
6E-08,13
8E-08,"-87,9"
9E-08,"-159,5"
"1,1E-07","-200,2"
"1,2E-07","-232,6"
"1,3E-07",-258
"1,4E-07","-275,3"
"1,6E-07","-292,8"
"1,7E-07","-299,5"
"1,8E-07","-307,4"
"1,9E-07","-312,5"
2E-07,"-313,3"
"2,1E-07",-319
"2,2E-07",-319
"2,4E-07","-321,7"
"2,5E-07","-323,7"
"2,7E-07","-322,3"
"2,8E-07","-325,5"
"2,9E-07","-324,1"
3E-07,"-325,5"
"3,2E-07","-328,2"
"3,3E-07","-325,5"
"3,4E-07","-328,8"
"3,6E-07","-327,2"
"3,7E-07","-328,8"
"3,8E-07","-329,8"
4E-07,"-327,2"
"4,1E-07","-330,8"
"4,2E-07","-328,8"
"4,4E-07",-329
"4,5E-07","-330,4"
"4,6E-07","-328,2"
"4,7E-07",-331
"4,9E-07","-328,4"
5E-07,"-328,8"
"5,1E-07","-328,8"
"5,2E-07","-325,5"
"5,4E-07",-327
"5,5E-07","-322,3"
"5,7E-07","-321,1"
"5,9E-07",-319
"6,1E-07","-313,1"
"6,2E-07","-313,9"
"6,4E-07","-308,2"
"6,5E-07",-306
"6,6E-07","-304,4"
"6,8E-07","-299,7"
"6,9E-07","-301,1"
7E-07,"-296,4"
"7,1E-07","-295,2"
"7,3E-07",-294
"7,4E-07","-289,7"
"7,5E-07","-290,3"
"7,7E-07","-286,5"
"7,8E-07","-285,7"
"7,9E-07","-285,2"
"8,1E-07","-281,8"
"8,2E-07","-283,2"
"8,4E-07",-280
"8,6E-07","-280,8"
"8,7E-07",-280
"8,9E-07","-276,7"
"9,1E-07",-280
"9,3E-07","-276,9"
"9,4E-07","-278,1"
"9,6E-07","-278,1"
"9,7E-07","-275,3"
"9,9E-07","-278,3"
1E-06,"-275,3"
"1,02E-06","-277,9"
"1,03E-06","-278,3"
"1,04E-06","-276,9"
"1,05E-06",-280
"1,06E-06","-278,3"
"1,07E-06",-280
"1,08E-06",-280
"1,1E-06","-278,5"
"1,11E-06","-281,6"
"1,13E-06",-280
"1,15E-06","-283,2"
"1,17E-06","-283,2"
"1,19E-06","-283,2"
"1,21E-06","-286,5"
"1,23E-06","-284,8"
"1,26E-06","-287,1"
"1,28E-06","-289,1"
"1,3E-06","-287,9"
"1,32E-06","-292,6"
"1,35E-06","-290,3"
"1,37E-06",-293
"1,39E-06","-294,6"
"1,41E-06","-293,2"
"1,43E-06","-297,9"
"1,45E-06","-295,2"
"1,47E-06","-298,5"
"1,49E-06","-299,5"
"1,5E-06","-298,1"
"1,51E-06","-302,7"
"1,53E-06","-300,1"
"1,55E-06","-302,9"
"1,56E-06","-303,8"
"1,58E-06","-302,7"
"1,59E-06","-306,6"
"1,61E-06","-305,4"
"1,63E-06","-307,6"
"1,65E-06","-309,3"
"1,67E-06","-307,6"
"1,68E-06","-310,9"
"1,7E-06","-309,3"
"1,72E-06","-311,9"
"1,73E-06","-312,5"
"1,74E-06","-311,9"
"1,76E-06","-315,8"
"1,77E-06","-312,5"
"1,79E-06","-315,4"
"1,8E-06","-315,8"
"1,82E-06","-314,3"
"1,85E-06",-319
"1,87E-06",-316
"1,89E-06",-319
"1,92E-06",-319
"1,94E-06",-319
"1,95E-06","-321,9"
"1,97E-06","-318,8"
"1,99E-06","-321,7"
"2,01E-06","-322,3"
"2,03E-06","-320,6"
"2,05E-06","-323,9"
"2,07E-06","-322,1"
"2,09E-06","-323,9"
"2,11E-06","-323,9"
"2,12E-06","-322,5"
"2,13E-06","-325,5"
"2,15E-06","-323,5"
"2,16E-06","-325,5"
"2,17E-06","-325,5"
"2,19E-06","-323,9"
"2,2E-06",-327
"2,22E-06","-324,1"
"2,23E-06","-326,1"
"2,25E-06",-327
"2,26E-06","-325,5"
"2,27E-06","-328,8"
"2,28E-06","-325,1"
"2,29E-06",-327
"2,31E-06","-327,2"
"2,32E-06","-325,5"
"2,33E-06","-328,8"
"2,34E-06","-325,5"
"2,36E-06","-327,6"
"2,37E-06",-328
"2,38E-06","-325,5"
"2,4E-06","-328,8"
"2,41E-06","-325,9"
"2,43E-06","-327,8"
"2,44E-06","-327,6"
"2,45E-06","-325,7"
"2,46E-06","-328,8"
"2,47E-06","-325,5"
"2,48E-06","-328,8"
"2,49E-06","-328,6"
"2,5E-06","-326,5"
"2,5E-06","-328,8"
"2,51E-06","-326,5"
"2,51E-06","-328,8"
"2,52E-06","-328,2"
"2,52E-06","-326,8"
"2,53E-06","-329,2"
"2,54E-06","-326,8"
"2,54E-06","-328,8"
"2,55E-06","-328,8"
"2,55E-06","-326,1"
"2,56E-06","-330,2"
"2,56E-06","-326,5"
"2,56E-06","-328,8"
"2,56E-06","-328,4"
"2,56E-06","-326,8"
"2,56E-06","-330,2"
"2,56E-06","-326,5"
"2,56E-06","-329,6"
"2,56E-06","-328,8"
"2,56E-06","-328,6"
"2,56E-06","-330,6"
"2,56E-06","-328,8"
"2,56E-06",-331
"2,56E-06","-329,6"
"2,56E-06","-328,8"
"2,56E-06","-331,4"
"2,56E-06","-328,6"
"2,56E-06","-330,4"
"2,56E-06","-330,4"
"2,56E-06","-328,4"
"2,56E-06","-330,8"
"2,56E-06","-328,8"
"2,56E-06",-330
"2,56E-06","-330,4"
"2,56E-06","-328,8"
"2,56E-06","-331,6"
"2,56E-06","-328,8"
"2,56E-06","-330,6"
"2,56E-06","-330,4"
