,,,
θ ( graus ),θ rad,λ (metros),"Intensidade de luz, canal A ( % do máx. )"
"0,0","0,00","0,00000000","599,2"
"0,0","0,00","0,00000000","594,1"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","595,5"
"0,0","0,00","0,00000000","595,7"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","593,3"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","594,1"
"0,0","0,00","0,00000000","594,7"
"0,0","0,00","0,00000000","597,6"
"0,0","0,00","0,00000000","592,5"
"0,0","0,00","0,00000000","597,8"
"0,0","0,00","0,00000000","593,3"
"0,0","0,00","0,00000000","595,1"
"0,0","0,00","0,00000000","598,4"
"0,0","0,00","0,00000000","594,1"
"0,0","0,00","0,00000000","599,6"
"0,0","0,00","0,00000000","596,3"
"0,0","0,00","0,00000000","597,3"
"0,0","0,00","0,00000000","600,6"
"0,0","0,00","0,00000000","595,7"
"0,0","0,00","0,00000000","600,6"
"0,0","0,00","0,00000000","598,8"
"0,0","0,00","0,00000000","598,6"
"0,0","0,00","0,00000000","599,6"
"0,0","0,00","0,00000000","597,8"
"0,0","0,00","0,00000000","600,6"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","601,4"
"0,0","0,00","0,00000000",598
"0,0","0,00","0,00000000","601,2"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","599,2"
"0,0","0,00","0,00000000","600,6"
"0,0","0,00","0,00000000","598,2"
"0,0","0,00","0,00000000","600,2"
"0,0","0,00","0,00000000","596,5"
"0,0","0,00","0,00000000",598
"0,0","0,00","0,00000000","599,2"
"0,0","0,00","0,00000000","595,9"
"0,0","0,00","0,00000000","592,9"
"0,0","0,00","0,00000000","595,7"
"0,0","0,00","0,00000000","597,3"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","596,5"
"0,0","0,00","0,00000000","599,4"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","598,6"
"0,0","0,00","0,00000000","600,4"
"0,0","0,00","0,00000000","597,1"
"0,0","0,00","0,00000000",599
"0,0","0,00","0,00000000","600,6"
"0,0","0,00","0,00000000","612,6"
"0,0","0,00","0,00000000",625
"0,0","0,00","0,00000000","622,8"
"0,0","0,00","0,00000000","626,4"
"0,0","0,00","0,00000000",625
"0,5","0,00","0,00000000","615,3"
"2,0","0,00","0,00000000",599
"11,5","0,00","0,00000001","558,3"
"31,5","0,01","0,00000003","473,4"
"53,5","0,02","0,00000005","292,8"
"72,2","0,02","0,00000007","104,2"
"84,8","0,02","0,00000008",-22
"95,3","0,03","0,00000009","-104,2"
"104,5","0,03","0,00000010","-149,5"
"112,0","0,03","0,00000011","-185,6"
"120,2","0,03","0,00000012","-210,4"
"130,2","0,04","0,00000013","-229,5"
"141,3","0,04","0,00000014","-251,9"
"153,0","0,04","0,00000015","-265,3"
"164,5","0,05","0,00000016",-282
"174,3","0,05","0,00000017","-291,6"
"182,3","0,05","0,00000018","-297,5"
"189,2","0,06","0,00000018","-304,4"
"195,7","0,06","0,00000019","-304,8"
"201,0","0,06","0,00000019","-309,3"
"208,0","0,06","0,00000020","-310,9"
"216,5","0,06","0,00000021","-310,9"
"225,0","0,07","0,00000022","-315,8"
"234,3","0,07","0,00000023","-312,9"
"243,8","0,07","0,00000024","-317,4"
"254,3","0,07","0,00000025","-318,2"
"264,0","0,08","0,00000026","-316,8"
"273,0","0,08","0,00000026","-321,5"
"283,8","0,08","0,00000027","-318,2"
"292,5","0,09","0,00000028","-321,5"
"299,5","0,09","0,00000029","-322,3"
"306,3","0,09","0,00000030","-320,6"
"313,8","0,09","0,00000030","-324,1"
"321,3","0,09","0,00000031","-320,6"
"328,8","0,10","0,00000032","-323,9"
"335,8","0,10","0,00000033","-323,9"
"344,0","0,10","0,00000033","-322,7"
"351,7","0,10","0,00000034","-326,1"
"360,0","0,10","0,00000035","-323,3"
"369,0","0,11","0,00000036","-325,7"
"379,7","0,11","0,00000037","-325,5"
"389,2","0,11","0,00000038","-325,3"
"399,2","0,12","0,00000039","-327,2"
"411,2","0,12","0,00000040","-325,3"
"423,0","0,12","0,00000041","-327,4"
"433,8","0,13","0,00000042","-327,2"
"442,3","0,13","0,00000043","-325,5"
"450,3","0,13","0,00000044","-328,8"
"460,5","0,13","0,00000045","-325,5"
"469,7","0,14","0,00000045","-327,2"
"477,5","0,14","0,00000046","-326,3"
"484,5","0,14","0,00000047","-324,9"
"492,5","0,14","0,00000048","-327,4"
"501,2","0,15","0,00000048","-323,7"
"510,2","0,15","0,00000049","-325,3"
"518,5","0,15","0,00000050","-323,7"
"527,2","0,15","0,00000051","-320,4"
"535,7","0,16","0,00000052","-321,5"
"543,7","0,16","0,00000052","-315,8"
"552,2","0,16","0,00000053","-316,4"
"562,0","0,16","0,00000054","-312,5"
"571,5","0,17","0,00000055","-309,1"
"579,0","0,17","0,00000056",-308
"586,5","0,17","0,00000057","-302,7"
"593,2","0,17","0,00000057","-302,7"
"600,0","0,17","0,00000058","-298,7"
"607,0","0,18","0,00000059","-294,6"
"614,0","0,18","0,00000059","-294,8"
"620,8","0,18","0,00000060","-289,7"
"628,0","0,18","0,00000061","-289,7"
"636,2","0,19","0,00000061","-286,5"
"645,3","0,19","0,00000062","-283,2"
"656,7","0,19","0,00000063","-282,6"
"666,7","0,19","0,00000064","-276,7"
"677,0","0,20","0,00000065","-275,1"
"690,5","0,20","0,00000067","-271,4"
"705,2","0,21","0,00000068","-266,9"
"721,3","0,21","0,00000069","-266,5"
"736,0","0,21","0,00000071","-259,4"
"750,2","0,22","0,00000072","-258,6"
"763,7","0,22","0,00000073","-253,9"
"778,3","0,23","0,00000075","-250,3"
"792,2","0,23","0,00000076","-250,7"
"805,8","0,23","0,00000077","-244,4"
"819,2","0,24","0,00000079","-245,2"
"833,3","0,24","0,00000080","-242,1"
"849,5","0,25","0,00000082","-239,3"
"864,7","0,25","0,00000083","-240,9"
"880,8","0,26","0,00000084","-236,2"
"896,5","0,26","0,00000086","-239,3"
"911,8","0,27","0,00000087",-238
"926,8","0,27","0,00000089","-236,6"
"942,8","0,27","0,00000090","-239,3"
"957,0","0,28","0,00000092",-235
"971,0","0,28","0,00000093","-237,6"
"986,0","0,29","0,00000094","-237,6"
"1000,5","0,29","0,00000096","-237,2"
"1014,3","0,30","0,00000097","-239,3"
"1028,5","0,30","0,00000098","-237,8"
"1042,8","0,30","0,00000100","-241,7"
"1056,3","0,31","0,00000101","-241,1"
"1069,5","0,31","0,00000102","-241,5"
"1084,3","0,32","0,00000103","-245,4"
"1101,0","0,32","0,00000105","-242,5"
"1120,3","0,33","0,00000107","-245,8"
"1141,2","0,33","0,00000109","-246,2"
"1160,3","0,34","0,00000110","-246,6"
"1177,0","0,34","0,00000112","-250,7"
"1193,3","0,35","0,00000113","-247,4"
"1209,3","0,35","0,00000115","-252,1"
"1225,5","0,36","0,00000116","-250,7"
"1242,5","0,36","0,00000118","-251,1"
"1259,3","0,37","0,00000119","-255,5"
"1277,3","0,37","0,00000121","-252,9"
"1298,0","0,38","0,00000123","-257,6"
"1316,8","0,38","0,00000125","-258,8"
"1334,5","0,39","0,00000126","-260,2"
"1353,0","0,39","0,00000128","-263,7"
"1371,5","0,40","0,00000129","-262,1"
"1387,5","0,40","0,00000131","-266,9"
"1404,5","0,41","0,00000132","-266,9"
"1425,5","0,41","0,00000134","-268,6"
"1449,7","0,42","0,00000136","-273,4"
"1472,7","0,43","0,00000138","-271,8"
"1491,8","0,43","0,00000140","-276,7"
"1508,8","0,44","0,00000142","-276,7"
"1527,5","0,44","0,00000143","-276,7"
