teta °	35kV 	30kV	28kV	25kV	18kV
2,5	5	4	0	2	2
2,6	13	6	5	1	2
2,7	12	5	2	1	0
2,8	6	4	2	1	2
2,9	10	4	4	0	0
3,0	12	7	5	1	0
3,1	23	6	5	1	1
3,2	41	9	3	0	0
3,3	98	6	7	1	0
3,4	216	7	3	4	1
3,5	324	12	2	0	0
3,6	450	7	4	0	0
3,7	582	5	4	2	0
3,8	596	27	2	3	1
3,9	638	60	3	0	0
4,0	700	132	7	1	1
4,1	788	214	4	0	0
4,2	746	288	12	0	2
4,3	697	339	27	3	1
4,4	747	381	73	1	0
4,5	738	401	122	0	0
4,6	726	407	164	0	0
4,7	749	441	206	2	0
4,8	797	459	225	2	1
4,9	737	487	273	1	1
5,0	760	447	281	1	0
5,1	684	433	356	1	0
5,2	673	422	291	2	0
5,3	659	431	320	9	0
5,4	668	397	340	23	0
5,5	639	406	340	35	0
5,6	582	432	310	51	0
5,7	631	443	317	102	1
5,8	547	392	300	93	1
5,9	500	390	311	111	1
6,0	495	394	285	116	0
6,1	593	423	364	113	0
6,2	875	594	437	145	1
6,3	1094	746	504	183	1
6,4	913	648	441	171	2
6,5	803	543	404	156	2
6,6	598	431	322	150	7
6,7	486	319	260	134	12
6,8	444	311	240	136	23
6,9	451	331	260	143	36
7,0	1374	886	582	214	39
7,1	2107	1285	901	260	46
7,2	1965	1187	807	243	48
7,3	1430	899	633	203	52
7,4	965	562	371	133	40
7,5	551	322	236	144	58
7,6	442	235	211	105	40
7,7	407	194	187	118	59
7,8	404	199	161	84	55
7,9	396	175	140	90	56
8,0	354	196	136	90	54
8,1	342	184	126	89	46
8,2	356	190	134	94	56
8,3	338	191	125	81	43
8,4	334	189	135	91	34
8,5	337	191	124	72	36
8,6	357	184	100	71	44
8,7	309	176	111	64	47
8,8	315	192	92	62	42
8,9	315	188	81	65	40
9,0	275	160	106	55	42
9,1	307	185	103	55	26
9,2	279	169	93	55	27
9,3	261	167	107	52	27
9,4	240	194	108	39	27
9,5	264	162	84	39	32
9,6	224	164	97	35	21
9,7	247	133	105	31	25
9,8	245	159	108	37	18
9,9	238	162	97	43	16
10,0	229	136	97	27	14
10,1	221	157	88	36	24
10,2	213	153	78	22	20
10,3	194	124	101	23	10
10,4	181	122	93	23	13
10,5	194	130	82	20	10
10,6	183	110	92	14	7
10,7	202	111	69	15	10
10,8	192	134	80	14	6
10,9	202	107	66	16	7
11,0	175	108	77	18	5
11,1	169	104	83	12	3
11,2	176	101	83	27	6
11,3	178	90	68	15	8
11,4	164	90	85	22	2
11,5	154	91	73	26	6
11,6	158	85	68	28	6
11,7	159	93	57	19	7
11,8	139	73	80	22	3
11,9	153	79	60	29	4
12,0	142	88	49	22	2
