teta° nofiltro	Zr	Mo
2,5	9	24	9
2,6	18	22	8
2,7	14	14	8
2,8	16	19	3
2,9	21	19	8
3,0	23	30	6
3,1	61	46	13
3,2	138	97	24
3,3	284	199	44
3,4	495	313	70
3,5	685	452	98
3,6	814	536	109
3,7	951	520	111
3,8	1064	611	120
3,9	1058	621	111
4,0	1123	568	101
4,1	1165	613	84
4,2	1160	550	74
4,3	1192	522	85
4,4	1182	489	45
4,5	1247	525	46
4,6	1195	472	42
4,7	1185	450	31
4,8	1183	426	26
4,9	1132	421	22
5,0	1166	376	19
5,1	1093	351	23
5,2	1059	286	10
5,3	1042	262	17
5,4	1036	255	18
5,5	1002	191	13
5,6	957	212	6
5,7	962	197	6
5,8	912	170	14
5,9	842	157	8
6,0	800	141	9
6,1	842	138	32
6,2	1143	122	190
6,3	1540	204	358
6,4	1733	213	568
6,5	1649	176	494
6,6	953	83	272
6,7	724	102	188
6,8	741	120	174
6,9	737	185	148
7,0	1206	707	250
7,1	2632	1817	577
7,2	3257	2253	752
7,3	3239	2225	722
7,4	1651	1081	284
7,5	766	431	110
7,6	670	392	89
7,7	625	391	82
7,8	589	382	68
7,9	607	367	73
8,0	574	323	58
8,1	594	331	56
8,2	529	275	43
8,3	567	274	40
8,4	525	250	44
8,5	518	265	35
8,6	500	225	37
8,7	489	231	26
8,8	461	243	35
8,9	479	219	27
9,0	427	190	29
9,1	417	198	24
9,2	389	169	30
9,3	373	172	30
9,4	374	152	22
9,5	340	164	28
9,6	365	145	21
9,7	326	133	20
9,8	319	150	15
9,9	324	151	28
10,0	304	105	23
10,1	286	105	22
10,2	277	108	18
10,3	295	134	19
10,4	282	104	18
10,5	252	98	16
10,6	272	110	17
10,7	263	88	22
10,8	259	120	22
10,9	244	105	25
11,0	249	97	20
11,1	260	97	23
11,2	220	101	24
11,3	214	98	29
11,4	205	99	20
11,5	203	80	23
11,6	197	74	19
11,7	222	79	21
11,8	235	83	15
11,9	218	85	26
12,0     196	     70	16
