teta°	IM1/s	IM2/s
2,5	6	16
2,6	9	6
2,7	16	5
2,8	16	8
2,9	18	20
3,0	38	33
3,1	58	62
3,2	161	179
3,3	310	325
3,4	525	557
3,5	719	737
3,6	893	886
3,7	968	989
3,8	1144	1120
3,9	1101	1123
4,0	1186	1147
4,1	1208	1176
4,2	1175	1216
4,3	1276	1177
4,4	1244	1238
4,5	1261	1177
4,6	1267	1228
4,7	1275	1173
4,8	1200	1162
4,9	1183	1212
5,0	1245	1148
5,1	1237	1188
5,2	1195	1129
5,3	1178	1097
5,4	1107	1064
5,5	1042	1021
5,6	1074	1000
5,7	1036	934
5,8	948	925
5,9	939	885
6,0	849	857
6,1	817	861
6,2	1019	1128
6,3	1480	1589
6,4	1780	1779
6,5	1802	1696
6,6	1172	1015
6,7	815	793
6,8	769	774
6,9	755	785
7,0	974	1198
7,1	2335	2653
7,2	3313	3300
7,3	3492	3370
7,4	2213	1723
7,5	848	774
7,6	669	675
7,7	640	669
7,8	621	623
7,9	645	644
8,0	603	614
8,1	596	559
8,2	568	588
8,3	580	541
8,4	549	531
8,5	511	504
8,6	519	500
8,7	507	524
8,8	437	467
8,9	446	444
9,0	443	453
9,1	429	408
9,2	441	449
9,3	371	401
9,4	370	381
9,5	367	384
9,6	312	360
9,7	335	337
9,8	344	302
9,9	304	330
10,0	302	299
10,1	300	314
10,2	323	292
10,3	270	282
10,4	272	290
10,5	293	280
10,6	285	279
10,7	285	256
10,8	263	288
10,9	252	271
11,0	236	286
11,1	265	250
11,2	251	247
11,3	221	244
11,4	259	238
11,5	227	225
11,6	229	248
11,7	218	227
11,8	190	190
11,9	233	219
12,0	205	194
12,1	201	232
12,2	208	209
12,3	194	199
12,4	191	189
12,5	213	170
12,6	207	217
12,7	257	249
12,8	352	371
12,9	421	475
13,0	559	496
13,1	368	347
13,2	196	173
13,3	160	211
13,4	167	172
13,5	183	184
13,6	178	191
13,7	152	149
13,8	174	153
13,9	161	171
14,0	163	153
14,1	156	157
14,2	137	154
14,3	168	190
14,4	418	485
14,5	875	988
14,6	1179	1135
14,7	965	886
14,8	437	336
14,9	174	154
15,0	161	133
15,1	136	151
15,2	133	117
15,3	126	97
15,4	119	112
15,5	122	121
15,6	123	119
15,7	118	115
15,8	103	118
15,9	118	93
16,0	121	119
16,1	105	115
16,2	121	114
16,3	105	103
16,4	109	96
16,5	92	98
16,6	81	97
16,7	105	90
16,8	89	88
16,9	127	102
17,0	94	92
17,1	109	94
17,2	95	110
17,3	75	95
17,4	81	101
17,5	86	74
17,6	68	69
17,7	83	78
17,8	86	71
17,9	92	62
18,0	64	75
18,1	80	77
18,2	75	73
18,3	59	65
18,4	73	79
18,5	86	66
18,6	71	59
18,7	66	63
18,8	55	64
18,9	74	58
19,0	64	77
19,1	85	77
19,2	91	70
19,3	75	72
19,4	74	73
19,5	103	120
19,6	152	140
19,7	140	139
19,8	81	105
19,9	51	54
20,0	56	59
20,1	68	51
20,2	58	52
20,3	53	54
20,4	51	57
20,5	59	41
20,6	60	61
20,7	49	42
20,8	52	46
20,9	54	55
21,0	55	55
21,1	44	61
21,2	57	43
21,3	42	46
21,4	42	46
21,5	47	51
21,6	47	53
21,7	52	53
21,8	37	39
21,9	76	65
22,0	129	160
22,1	235	286
22,2	307	288
22,3	188	194
22,4	122	114
22,5	55	45
22,6	43	45
22,7	33	46
22,8	32	46
22,9	44	42
23,0	39	40
23,1	42	42
23,2	32	27
23,3	35	41
23,4	31	39
23,5	47	26
23,6	41	41
23,7	35	32
23,8	33	30
23,9	36	40
24,0	39	36
24,1	29	34
24,2	34	34
24,3	29	32
24,4	28	30
24,5	28	32
24,6	27	27
24,7	32	35
24,8	23	39
24,9	30	37
25,0	28	37
25,1	31	30
25,2	29	36
25,3	26	26
25,4	38	29
25,5	30	30
25,6	29	26
25,7	20	21
25,8	29	29
25,9	33	35
26,0	38	29
26,1	27	38
26,2	26	28
26,3	37	27
26,4	26	34
26,5	35	37
26,6	42	33
26,7	45	42
26,8	42	33
26,9	28	28
27,0	22	27
27,1	37	20
27,2	24	26
27,3	14	28
27,4	26	28
27,5	26	15
27,6	29	20
27,7	12	18
27,8	27	21
27,9	33	24
28,0	25	15
28,1	19	18
28,2	24	22
28,3	20	33
28,4	26	24
28,5	26	20
28,6	20	21
28,7	23	19
28,8	28	18
28,9	16	16
29,0	24	10
29,1	18	20
29,2	17	26
29,3	18	27
29,4	26	18
29,5	30	23
29,6	22	25
29,7	24	20
29,8	17	21
29,9	24	30
30,0	29	34
