&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s	R_4 / 1/s
2,5	12	8	6	3	0
2,6	9	5	2	1	0
2,7	11	4	4	4	2
2,8	15	6	6	3	0
2,9	17	6	3	1	4
3,0	41	3	3	1	1
3,1	61	6	6	0	1
3,2	171	4	6	0	2
3,3	287	6	6	2	1
3,4	570	5	5	0	1
3,5	696	7	5	4	0
3,6	859	17	9	2	1
3,7	976	39	1	1	1
3,8	1047	89	4	1	0
3,9	1099	158	4	2	1
4,0	1089	329	4	1	1
4,1	1143	474	6	3	1
4,2	1198	529	48	4	2
4,3	1163	600	89	4	0
4,4	1219	629	175	1	0
4,5	1199	743	287	0	0
4,6	1240	799	344	0	0
4,7	1161	741	419	1	2
4,8	1189	812	449	3	0
4,9	1112	819	475	1	0
5,0	1189	756	534	4	1
5,1	1139	792	588	7	1
5,2	1118	844	554	19	1
5,3	1088	801	588	45	2
5,4	1065	750	559	102	0
5,5	1051	785	557	121	2
5,6	985	693	577	164	0
5,7	953	754	544	198	0
5,8	884	702	546	218	0
5,9	874	687	531	248	0
6,0	826	630	521	239	1
6,1	873	669	529	267	0
6,2	1148	779	618	273	0
6,3	1576	1079	764	308	2
6,4	1732	1207	817	340	8
6,5	1677	1112	838	349	22
6,6	987	685	573	273	33
6,7	829	531	476	270	55
6,8	723	523	421	253	70
6,9	771	516	412	222	82
7,0	1261	801	626	299	80
7,1	2670	1721	1205	433	75
7,2	3311	2197	1542	527	77
7,3	3282	2175	1519	492	105
7,4	1637	1056	744	313	95
7,5	770	427	371	221	103
7,6	699	394	295	196	92
7,7	661	327	305	197	97
7,8	617	357	272	196	94
7,9	611	336	247	183	111
8,0	600	366	246	160	80
8,1	596	330	216	150	95
8,2	607	355	209	149	67
8,3	532	318	231	151	88
8,4	527	295	214	151	68
8,5	510	298	199	118	71
8,6	458	290	195	117	63
8,7	467	300	181	93	68
8,8	460	307	193	129	61
8,9	462	276	199	99	68
9,0	433	296	185	86	52
9,1	442	271	192	101	65
9,2	401	240	179	83	50
9,3	395	250	193	83	44
9,4	369	246	171	83	48
9,5	376	256	148	62	38
9,6	342	250	150	60	42
9,7	362	232	158	43	34
9,8	345	214	147	57	28
9,9	312	207	167	39	30
10,0	325	190	164	34	36
10,1	298	170	140	37	33
10,2	316	210	139	39	29
10,3	286	209	132	43	21
10,4	281	178	146	34	23
10,5	253	161	109	30	15
10,6	303	167	122	36	18
10,7	278	188	147	28	24
10,8	275	159	124	36	16
10,9	260	156	121	30	17
11,0	238	169	122	35	17
11,1	243	156	119	32	11
11,2	242	167	116	28	12
11,3	203	154	95	43	16
11,4	254	142	98	44	7
11,5	189	133	118	36	13
11,6	242	132	96	39	5
11,7	219	125	90	34	6
11,8	204	133	108	40	6
11,9	222	116	97	40	2
12,0	189	128	84	35	2
