teta°	35kV	30kV	28kV	25kV	18kV
2,5	3	3	0	0	0
2,6	3	0	1	1	2
2,7	0	1	1	0	1
2,8	3	2	0	1	1
2,9	1	1	0	0	0
3,0	1	2	0	1	1
3,1	5	3	0	1	0
3,2	3	0	0	2	0
3,3	3	1	3	1	0
3,4	1	2	0	0	0
3,5	2	0	0	1	1
3,6	4	2	0	1	0
3,7	2	2	1	0	0
3,8	1	1	0	0	0
3,9	3	3	3	0	1
4,0	4	2	1	0	0
4,1	3	2	2	0	1
4,2	5	0	1	0	1
4,3	6	2	1	0	0
4,4	14	0	0	0	0
4,5	41	3	3	1	0
4,6	147	2	1	0	1
4,7	181	0	0	0	0
4,8	214	3	1	0	2
4,9	265	3	0	1	0
5,0	300	1	0	2	0
5,1	332	8	1	0	2
5,2	354	28	2	1	2
5,3	357	59	0	2	0
5,4	409	105	1	0	0
5,5	414	133	0	0	0
5,6	388	153	5	1	0
5,7	393	167	5	1	1
5,8	365	159	21	0	0
5,9	343	200	50	0	0
6,0	320	190	61	1	0
6,1	351	161	85	1	1
6,2	344	227	91	1	0
6,3	450	261	114	1	1
6,4	594	315	146	0	0
6,5	543	281	138	0	0
6,6	369	227	130	2	1
6,7	280	194	128	2	1
6,8	295	188	117	0	0
6,9	289	210	101	2	0
7,0	287	206	122	3	0
7,1	548	278	132	10	0
7,2	1072	472	184	23	0
7,3	1152	459	187	24	0
7,4	573	282	126	23	0
7,5	265	169	129	41	0
7,6	205	156	113	42	0
7,7	202	131	112	43	0
7,8	202	143	97	37	0
7,9	210	151	95	38	0
8,0	182	126	102	37	0
8,1	147	121	82	35	0
8,2	172	111	83	57	0
8,3	165	117	94	41	0
8,4	137	103	89	45	0
8,5	140	98	78	38	1
8,6	139	105	79	32	5
8,7	126	82	64	35	2
8,8	115	99	62	48	9
8,9	122	90	61	38	13
9,0	88	75	69	42	12
9,1	97	76	61	27	11
9,2	100	66	56	33	10
9,3	94	55	42	33	15
9,4	93	54	47	29	15
9,5	81	59	53	40	7
9,6	94	39	42	21	12
9,7	92	39	31	23	12
9,8	83	43	29	26	11
9,9	95	39	34	17	7
10,0	105	38	26	10	9
10,1	82	32	23	20	4
10,2	85	31	24	11	10
10,3	83	33	22	13	7
10,4	78	27	13	14	3
10,5	70	26	20	8	8
10,6	76	28	18	10	8
10,7	68	26	23	11	3
10,8	65	17	19	11	9
10,9	73	25	13	9	4
11,0	70	34	13	13	7
11,1	57	29	8	6	5
11,2	73	32	9	10	9
11,3	65	22	14	8	5
11,4	55	37	8	3	6
11,5	64	39	11	7	3
11,6	58	36	10	6	1
11,7	45	25	8	6	2
11,8	58	28	9	4	3
11,9	51	29	16	5	1
12,0	52	25	10	1	3
