teta°	35kV	30kV	28kV	25kV	18kV
2,5	2	0	1	1	0
2,6	2	0	3	0	0
2,7	2	0	0	0	0
2,8	3	1	1	2	1
2,9	2	0	0	0	0
3,0	3	0	0	0	1
3,1	4	3	0	1	1
3,2	1	2	0	1	0
3,3	1	1	1	0	0
3,4	1	3	1	1	0
3,5	0	2	2	0	0
3,6	4	0	0	2	1
3,7	2	1	0	0	1
3,8	3	0	0	0	0
3,9	5	1	1	1	0
4,0	1	2	2	1	1
4,1	4	2	0	1	0
4,2	2	1	0	1	0
4,3	13	1	0	1	0
4,4	42	1	1	1	0
4,5	98	1	0	0	0
4,6	165	2	2	0	0
4,7	177	0	1	0	0
4,8	235	0	0	2	1
4,9	283	4	1	1	0
5,0	320	5	3	1	0
5,1	359	24	0	0	0
5,2	370	52	2	0	0
5,3	375	97	3	0	1
5,4	368	138	2	1	0
5,5	355	141	2	0	1
5,6	392	154	2	0	0
5,7	368	161	12	0	1
5,8	376	181	42	2	0
5,9	346	164	51	1	1
6,0	321	182	78	1	0
6,1	346	211	96	0	1
6,2	372	233	97	0	0
6,3	574	272	127	0	0
6,4	610	287	145	1	0
6,5	473	255	125	0	0
6,6	337	218	118	0	0
6,7	291	190	138	1	0
6,8	328	182	136	3	1
6,9	262	192	139	2	1
7,0	363	201	148	14	0
7,1	884	370	166	17	1
7,2	1294	553	229	23	1
7,3	927	402	193	20	1
7,4	368	199	110	31	0
7,5	229	163	136	43	0
7,6	215	147	125	37	0
7,7	221	168	121	60	1
7,8	187	137	122	50	0
7,9	199	137	110	48	0
8,0	180	133	91	57	0
8,1	169	118	98	45	0
8,2	160	113	101	51	0
8,3	161	127	94	62	0
8,4	131	106	86	46	0
8,5	125	108	72	53	0
8,6	133	98	86	46	7
8,7	128	95	72	44	9
8,8	115	64	69	34	10
8,9	127	84	72	29	8
9,0	103	77	60	40	14
9,1	113	77	71	29	9
9,2	111	75	56	37	13
9,3	101	47	47	24	16
9,4	113	62	41	21	2
9,5	94	45	51	28	10
9,6	92	48	39	20	9
9,7	64	45	37	17	10
9,8	88	43	32	22	11
9,9	95	40	29	15	9
10,0	69	38	25	20	11
10,1	76	27	42	19	10
10,2	89	32	29	13	3
10,3	67	32	28	20	9
10,4	79	27	21	11	3
10,5	81	34	18	12	6
10,6	64	35	21	14	6
10,7	79	34	15	19	5
10,8	69	33	25	13	2
10,9	72	20	13	4	7
11,0	65	31	14	11	6
11,1	77	32	13	5	6
11,2	46	38	17	6	7
11,3	57	31	10	5	3
11,4	52	28	17	5	9
11,5	60	28	13	8	3
11,6	58	25	8	3	2
11,7	52	29	6	5	6
11,8	46	31	7	3	3
11,9	49	23	14	3	4
12,0	40	18	13	3	1
