teta°   M1/s	M2/s
2,5	18	7
2,6	11	11
2,7	10	7
2,8	18	8
2,9	10	12
3,0	17	24
3,1	24	22
3,2	64	66
3,3	113	162
3,4	221	290
3,5	280	422
3,6	355	515
3,7	435	561
3,8	431	661
3,9	478	727
4,0	483	700
4,1	561	788
4,2	506	824
4,3	529	799
4,4	531	796
4,5	562	824
4,6	559	828
4,7	551	785
4,8	548	810
4,9	536	763
5,0	487	741
5,1	508	717
5,2	505	676
5,3	445	660
5,4	474	661
5,5	472	648
5,6	446	621
5,7	437	602
5,8	427	566
5,9	397	555
6,0	388	545
6,1	476	634
6,2	828	997
6,3	870	1182
6,4	744	1026
6,5	640	782
6,6	493	635
6,7	426	518
6,8	371	427
6,9	428	560
7,0	1505	1597
7,1	1887	2244
7,2	1536	1923
7,3	1176	1502
7,4	839	936
7,5	470	566
7,6	371	462
7,7	360	416
7,8	334	359
7,9	319	411
8,0	348	408
8,1	312	425
8,2	320	369
8,3	309	325
8,4	306	353
8,5	291	352
8,6	284	349
8,7	269	318
8,8	281	309
8,9	278	337
9,0	265	322
9,1	246	322
9,2	271	297
9,3	252	268
9,4	231	281
9,5	217	268
9,6	202	238
9,7	215	254
9,8	201	226
9,9	192	239
10,0	217	244
10,1	202	239
10,2	183	249
10,3	168	207
10,4	164	201
10,5	166	197
10,6	154	201
10,7	165	184
10,8	181	205
10,9	178	214
11,0	163	171
11,1	166	196
11,2	159	171
11,3	147	179
11,4	130	170
11,5	136	156
11,6	167	156
11,7	146	168
11,8	147	152
11,9	143	165
12,0	159	172
12,1	141	151
12,2	131	163
12,3	132	152
12,4	148	139
12,5	174	184
12,6	193	178
12,7	223	257
12,8	327	362
12,9	303	351
13,0	196	249
13,1	162	182
13,2	141	170
13,3	154	152
13,4	133	153
13,5	130	129
13,6	149	132
13,7	123	122
13,8	124	148
13,9	125	131
14,0	122	116
14,1	109	137
14,2	116	123
14,3	276	267
14,4	634	637
14,5	625	758
14,6	416	566
14,7	233	351
14,8	176	204
14,9	131	150
15,0	102	115
15,1	90	94
15,2	108	95
15,3	89	110
15,4	98	113
15,5	101	92
15,6	100	111
15,7	102	105
15,8	88	93
15,9	83	88
16,0	83	90
16,1	76	91
16,2	95	111
16,3	89	91
16,4	88	93
16,5	67	101
16,6	73	83
16,7	76	77
16,8	81	85
16,9	73	78
17,0	75	70
17,1	61	61
17,2	71	76
17,3	73	89
17,4	62	72
17,5	67	97
17,6	79	69
17,7	59	78
17,8	61	85
17,9	66	77
18,0	67	63
18,1	50	67
18,2	64	64
18,3	63	58
18,4	53	64
18,5	76	68
18,6	66	65
18,7	55	61
18,8	52	75
18,9	60	56
19,0	66	61
19,1	63	74
19,2	70	62
19,3	63	74
19,4	87	93
19,5	108	118
19,6	77	105
19,7	68	83
19,8	45	63
19,9	55	42
20,0	51	68
20,1	44	55
20,2	61	47
20,3	60	64
20,4	50	51
20,5	54	54
20,6	49	39
20,7	48	48
20,8	43	45
20,9	50	49
21,0	41	45
21,1	54	51
21,2	43	44
21,3	36	48
21,4	41	41
21,5	45	49
21,6	43	47
21,7	29	45
21,8	65	51
21,9	136	88
22,0	215	192
22,1	184	218
22,2	141	200
22,3	88	117
22,4	56	67
22,5	47	49
22,6	52	46
22,7	34	39
22,8	39	51
22,9	25	41
23,0	43	42
23,1	23	39
23,2	35	32
23,3	31	48
23,4	34	39
23,5	27	27
23,6	30	45
23,7	39	35
23,8	23	35
23,9	25	26
24,0	31	34
24,1	28	32
24,2	28	33
24,3	19	30
24,4	32	19
24,5	24	55
24,6	29	36
24,7	23	22
24,8	27	28
24,9	25	35
25,0	27	27
25,1	34	32
25,2	17	30
25,3	26	29
25,4	26	24
25,5	23	32
25,6	21	32
25,7	25	17
25,8	22	16
25,9	20	26
26,0	26	32
26,1	22	23
26,2	28	21
26,3	38	29
26,4	31	38
26,5	48	51
26,6	30	34
26,7	26	32
26,8	19	17
26,9	31	24
27,0	17	25
27,1	18	29
27,2	28	22
27,3	22	20
27,4	22	19
27,5	21	23
27,6	13	27
27,7	32	25
27,8	17	22
27,9	21	22
28,0	19	14
28,1	24	17
28,2	16	24
28,3	14	15
28,4	20	19
28,5	25	25
28,6	23	21
28,7	21	18
28,8	25	20
28,9	25	16
29,0	15	26
29,1	13	23
29,2	20	24
29,3	22	22
29,4	25	24
29,5	19	24
29,6	18	27
29,7	20	16
29,8	24	15
29,9	41	29
30,0	58	47
