teta°  nofilter	Zr	Mo
2,5	8	18	8
2,6	12	20	5
2,7	8	9	5
2,8	8	11	3
2,9	10	15	4
3,0	14	17	5
3,1	12	17	3
3,2	32	20	11
3,3	76	63	8
3,4	169	102	24
3,5	264	158	41
3,6	409	243	57
3,7	454	250	72
3,8	523	282	60
3,9	606	311	60
4,0	629	313	58
4,1	687	330	59
4,2	670	306	56
4,3	713	288	49
4,4	699	311	37
4,5	765	287	37
4,6	746	291	30
4,7	755	263	28
4,8	720	259	19
4,9	746	227	14
5,0	705	213	18
5,1	647	185	12
5,2	666	149	14
5,3	620	169	7
5,4	557	160	10
5,5	572	132	8
5,6	564	114	10
5,7	629	118	6
5,8	580	92	7
5,9	520	97	7
6,0	484	84	10
6,1	597	84	55
6,2	886	108	173
6,3	1071	125	291
6,4	978	109	283
6,5	777	79	220
6,6	578	70	188
6,7	477	52	114
6,8	445	78	95
6,9	410	144	104
7,0	1322	764	263
7,1	2054	1319	488
7,2	1869	1276	404
7,3	1471	935	327
7,4	949	631	179
7,5	574	331	87
7,6	412	263	65
7,7	394	206	64
7,8	410	220	50
7,9	382	202	45
8,0	347	195	43
8,1	363	201	43
8,2	374	213	43
8,3	343	197	47
8,4	350	197	34
8,5	325	171	23
8,6	275	165	22
8,7	296	153	27
8,8	323	142	24
8,9	323	158	25
9,0	294	129	18
9,1	299	140	35
9,2	285	135	17
9,3	247	123	21
9,4	238	113	21
9,5	254	123	23
9,6	229	112	22
9,7	226	110	26
9,8	248	91	19
9,9	252	86	20
10,0	228	100	27
10,1	220	97	22
10,2	218	85	17
10,3	219	78	11
10,4	201	85	12
10,5	218	85	19
10,6	172	76	13
10,7	179	71	13
10,8	177	88	16
10,9	181	85	17
11,0	176	67	20
11,1	183	86	11
11,2	165	67	18
11,3	193	74	7
11,4	154	66	13
11,5	159	68	18
11,6	173	77	16
11,7	125	69	9
11,8	161	75	8
11,9	147	61	18
12,0	162	56	18
