teta°	35kV	30kV	28kV	25kV	18kV
2,5	5	5	6	1	0
2,6	11	5	7	1	0
2,7	3	6	3	1	0
2,8	9	4	3	0	1
2,9	10	2	2	0	2
3,0	10	6	2	1	2
3,1	17	2	4	2	0
3,2	45	6	2	0	1
3,3	94	2	1	2	0
3,4	213	8	3	0	1
3,5	339	3	4	1	1
3,6	413	5	1	0	0
3,7	524	4	3	1	0
3,8	605	28	5	1	0
3,9	683	49	4	2	1
4,0	676	113	11	2	1
4,1	703	173	5	0	0
4,2	745	301	4	1	1
4,3	766	348	24	2	0
4,4	777	374	51	4	1
4,5	737	411	86	2	0
4,6	750	416	152	5	2
4,7	809	438	213	0	1
4,8	742	456	255	1	0
4,9	762	498	297	3	2
5,0	765	498	296	2	0
5,1	697	481	297	0	1
5,2	692	481	307	2	1
5,3	635	443	306	4	0
5,4	655	514	288	20	0
5,5	626	430	355	41	0
5,6	647	449	352	60	0
5,7	563	408	358	90	1
5,8	561	437	339	107	2
5,9	542	391	344	132	0
6,0	552	358	319	131	0
6,1	602	430	318	135	2
6,2	940	598	436	160	0
6,3	1075	741	526	167	0
6,4	997	630	449	159	3
6,5	840	536	439	141	4
6,6	611	444	323	151	4
6,7	479	373	288	119	20
6,8	427	351	225	141	32
6,9	495	329	270	133	35
7,0	1319	860	582	190	40
7,1	2105	1369	918	254	38
7,2	1974	1251	865	261	44
7,3	1542	934	658	218	56
7,4	1004	632	438	171	50
7,5	575	379	254	142	65
7,6	411	253	200	109	56
7,7	392	190	180	112	60
7,8	409	215	167	90	62
7,9	374	185	177	86	39
8,0	349	183	157	92	44
8,1	394	187	136	100	48
8,2	329	191	139	75	46
8,3	361	185	148	83	29
8,4	330	181	110	81	42
8,5	320	196	113	70	50
8,6	327	182	138	85	47
8,7	344	202	111	68	37
8,8	312	193	103	67	40
8,9	330	193	101	53	42
9,0	306	177	95	68	29
9,1	296	172	90	56	20
9,2	270	159	98	59	33
9,3	280	188	94	48	33
9,4	267	162	105	31	29
9,5	261	166	110	40	20
9,6	271	168	88	37	19
9,7	259	158	128	38	23
9,8	254	149	104	35	18
9,9	232	162	100	32	20
10,0	222	161	98	33	21
10,1	228	173	89	21	24
10,2	202	124	107	34	13
10,3	197	142	98	23	14
10,4	209	152	101	16	15
10,5	220	141	101	20	15
10,6	203	128	78	14	7
10,7	182	138	78	12	19
10,8	200	104	79	21	6
10,9	219	113	77	12	13
11,0	188	122	77	13	10
11,1	171	99	78	13	5
11,2	219	90	74	20	2
11,3	173	95	84	13	3
11,4	164	93	64	17	3
11,5	164	89	65	20	6
11,6	172	83	66	18	9
11,7	189	96	66	14	1
11,8	169	91	72	19	2
11,9	158	83	63	17	4
12,0	143	83	49	29	5
