teta/°	35kV/s	30kV/s	28kV/s	25kV/s	18KV/s
2,5	16	9	4	1	0
2,6	11	5	4	1	1
2,7	14	3	6	3	1
2,8	13	5	4	1	0
2,9	16	6	4	2	1
3,0	28	6	4	2	1
3,1	69	6	2	0	0
3,2	180	1	4	0	2
3,3	364	7	4	2	1
3,4	552	10	4	0	0
3,5	656	7	5	3	0
3,6	856	16	6	0	1
3,7	968	36	2	3	2
3,8	1048	101	7	1	2
3,9	1096	182	6	2	0
4,0	1144	317	7	0	2
4,1	1154	457	9	1	0
4,2	1183	568	46	2	2
4,3	1243	637	87	1	1
4,4	1198	658	185	4	1
4,5	1217	729	256	1	0
4,6	1209	734	400	0	1
4,7	1200	746	422	2	0
4,8	1233	740	453	0	1
4,9	1133	815	514	5	0
5,0	1180	801	532	3	0
5,1	1149	830	567	6	0
5,2	1134	857	553	13	0
5,3	1128	826	571	38	0
5,4	1068	811	569	78	0
5,5	1016	737	569	147	1
5,6	952	713	564	164	0
5,7	964	720	553	203	0
5,8	919	706	559	222	3
5,9	847	713	546	232	1
6,0	845	631	547	238	1
6,1	832	647	489	267	0
6,2	1112	781	577	293	0
6,3	1548	1098	796	324	2
6,4	1775	1232	866	360	5
6,5	1681	1140	856	361	23
6,6	988	720	539	271	42
6,7	790	583	457	266	56
6,8	750	581	472	253	74
6,9	715	542	402	219	82
7,0	1221	836	562	295	79
7,1	2641	1732	1185	428	101
7,2	3321	2189	1576	512	94
7,3	3226	2212	1518	509	91
7,4	1693	1091	820	299	86
7,5	748	478	413	215	74
7,6	692	407	310	184	98
7,7	662	365	310	188	97
7,8	626	363	284	176	104
7,9	649	358	263	171	96
8,0	591	320	254	158	77
8,1	578	357	245	153	79
8,2	565	305	215	132	91
8,3	533	330	244	118	98
8,4	537	358	238	120	84
8,5	515	356	185	132	66
8,6	483	283	182	132	82
8,7	464	325	203	128	75
8,8	515	316	182	109	62
8,9	410	316	158	92	62
9,0	420	306	178	101	75
9,1	445	266	183	107	44
9,2	406	247	171	94	60
9,3	405	267	159	69	48
9,4	340	276	161	77	37
9,5	400	252	180	67	42
9,6	328	226	136	65	41
9,7	349	231	155	48	32
9,8	327	233	175	42	27
9,9	346	215	144	46	35
10,0	308	182	149	53	35
10,1	281	223	142	45	32
10,2	295	205	129	41	23
10,3	296	193	136	48	22
10,4	284	183	120	33	15
10,5	292	186	126	35	19
10,6	259	172	115	33	26
10,7	278	166	133	31	9
10,8	282	148	103	32	16
10,9	250	164	125	41	12
11,0	248	164	123	41	12
11,1	251	123	101	38	16
11,2	280	151	110	44	8
11,3	263	150	100	41	10
11,4	239	139	110	53	14
11,5	225	135	106	38	10
11,6	231	124	88	35	6
11,7	245	128	97	37	5
11,8	219	136	105	29	6
11,9	234	120	95	44	5
12,0	221	119	94	29	8
