teta° nofilter	Zr	Mo
2,5	2	4	4
2,6	2	4	1
2,7	6	2	1
2,8	0	4	2
2,9	0	7	0
3,0	3	5	3
3,1	3	3	2
3,2	2	6	3
3,3	9	2	1
3,4	4	5	3
3,5	2	5	2
3,6	0	7	3
3,7	4	1	3
3,8	4	2	1
3,9	2	3	2
4,0	3	4	4
4,1	5	5	1
4,2	1	7	1
4,3	14	5	2
4,4	23	18	2
4,5	76	16	2
4,6	133	47	4
4,7	190	69	2
4,8	237	77	7
4,9	279	86	0
5,0	329	80	3
5,1	323	81	4
5,2	371	91	2
5,3	357	76	6
5,4	365	100	5
5,5	354	83	1
5,6	401	61	5
5,7	391	61	4
5,8	351	67	4
5,9	312	55	0
6,0	327	46	3
6,1	323	38	7
6,2	370	40	37
6,3	458	47	81
6,4	630	44	147
6,5	476	57	135
6,6	328	33	93
6,7	320	25	60
6,8	276	23	73
6,9	250	32	58
7,0	306	98	52
7,1	645	401	114
7,2	1150	732	222
7,3	1084	641	183
7,4	459	276	84
7,5	249	136	40
7,6	218	127	22
7,7	196	109	26
7,8	209	102	27
7,9	172	105	18
8,0	164	98	22
8,1	183	102	18
8,2	153	79	11
8,3	154	79	15
8,4	116	59	9
8,5	126	66	10
8,6	152	58	1
8,7	132	47	15
8,8	102	62	11
8,9	105	48	8
9,0	107	57	4
9,1	107	50	9
9,2	112	42	3
9,3	91	46	3
9,4	85	41	8
9,5	79	46	5
9,6	90	32	4
9,7	86	39	4
9,8	84	28	4
9,9	74	34	9
10,0	75	25	5
10,1	82	24	5
10,2	83	23	3
10,3	72	29	2
10,4	68	18	1
10,5	84	29	1
10,6	70	22	4
10,7	73	26	3
10,8	61	18	2
10,9	64	20	5
11,0	71	16	3
11,1	72	21	4
11,2	68	21	1
11,3	58	22	2
11,4	62	16	2
11,5	38	20	1
11,6	45	20	1
11,7	61	10	0
11,8	53	9	3
11,9	46	8	3
12,0	48	13	0
